,0,1,fileID
0,-0.8121287,0.52565557,EN_NL_273
1,0.5968157,-0.14609781,EN_NL_274
2,-0.29347977,-0.35175356,EN_NL_275
3,0.2523587,-0.15368159,EN_NL_276
4,-0.3568405,-0.6499264,EN_NL_277
5,0.26847652,-0.21438475,EN_NL_278
6,0.110701,-0.121846706,EN_NL_279
7,0.16083677,-0.21162286,EN_NL_280
8,-0.68724644,-0.726171,EN_NL_281
9,-0.2508056,-0.4192624,EN_NL_282
10,0.5415815,-0.03809485,EN_NL_283
11,0.4984162,0.33031774,EN_NL_284
12,-0.23335476,-0.8312933,EN_NL_285
13,0.42590237,0.43676782,EN_NL_286
14,-0.039699104,-0.0946259,EN_NL_287
15,-0.13905786,0.37309134,EN_NL_289
16,0.4774358,-0.4476701,EN_NL_290
17,0.047390353,-0.40791127,EN_NL_291
18,0.62643254,0.23983833,EN_NL_292
19,-0.0061684805,-0.12585312,EN_NL_293
20,0.4940843,-0.6957041,EN_NL_294
21,-0.71956104,0.7413937,EN_NL_295
22,0.1187502,-0.09618961,EN_NL_296
23,-0.07211789,-0.10066533,EN_NL_297
24,0.38223022,0.10713885,EN_NL_298
25,-0.6874694,0.9356199,EN_NL_299
26,0.18394493,-0.2113266,FR_NL_244
27,0.35879833,0.41644004,FR_NL_245
28,0.22655806,-0.35446376,FR_NL_246
29,0.24862324,-0.4210883,FR_NL_247
30,0.13937548,-0.3777204,FR_NL_248
31,-0.35662332,-0.65139747,FR_NL_249
32,0.57291067,-0.5346752,FR_NL_250
33,0.3866039,-0.21647258,FR_NL_251
34,-0.21219097,0.055919435,FR_NL_252
35,-0.055991642,-0.86261797,FR_NL_253
36,-0.23270406,-0.30416715,FR_NL_254
37,0.09753743,0.22092572,FR_NL_255
38,-0.36941856,-0.9741921,FR_NL_256
39,-0.33732948,-0.2790633,FR_NL_257
40,-0.10708835,0.18337108,FR_NL_258
41,0.99368715,-0.99781555,FR_NL_259
42,-0.7766523,-0.8518328,FR_NL_260
43,-0.32291424,-0.7643754,FR_NL_261
44,-0.40702942,-0.5294477,FR_NL_262
45,-0.105310135,-0.905531,FR_NL_263
46,-0.3352468,-0.65340614,FR_NL_264
47,-0.41039312,0.027163614,FR_NL_265
48,0.731381,0.45042416,FR_NL_266
49,0.015655354,0.017375343,FR_NL_267
50,-0.103678495,-0.7221847,FR_NL_268
51,-0.33370656,-0.45129764,FR_NL_269
52,-0.6075713,0.6837207,FR_NL_270
53,0.7440519,0.47210723,FR_NL_271
54,0.13835503,0.25574908,FR_NL_272
55,0.20807545,-0.18495166,NL_001
56,-0.85978717,0.72108245,NL_002
57,-0.42424563,0.21425036,NL_003
58,0.27943432,-0.2351596,NL_004
59,0.20145823,-0.25116703,NL_005
60,0.07225305,-0.13540088,NL_006
61,0.6499142,0.20266101,NL_007
62,-0.03761157,-0.10372822,NL_008
63,-0.91477174,-0.98864007,NL_009
64,0.17689785,-0.14491029,NL_010
65,0.904327,-0.92703015,NL_011
66,0.09228147,0.20044911,NL_012
67,-0.27161682,-0.2450024,NL_013
68,0.33532026,-0.45888704,NL_014
69,0.018879984,-0.48113593,NL_015
70,-0.18927555,-0.48105243,NL_016
71,0.32767832,-0.044097934,NL_017
72,0.012323991,-0.25628427,NL_018
73,0.32047123,0.0637211,NL_020
74,-0.102041826,0.3878439,NL_021
75,0.3466346,-0.2613365,NL_022
76,0.265797,0.10483214,NL_023
77,-0.97135574,-0.9668823,NL_024
78,0.1915911,-0.19455689,NL_025
79,0.57795846,0.016429955,NL_026
80,0.27943432,-0.2351596,NL_027
81,0.16869713,-0.10579818,NL_028
82,-0.84932,0.18106166,NL_029
83,0.09219051,0.22045542,NL_030
84,0.5274615,0.36894864,NL_031
85,0.24459836,-0.41340798,NL_032
86,0.40611225,0.07302818,NL_033
87,-0.04404085,0.17613919,NL_035
88,-0.22898948,-0.30969557,NL_036
89,0.15057057,-0.14130221,NL_037
90,0.040778387,-0.37006113,NL_038
91,0.6360889,-0.4121203,NL_039
92,0.20103498,-0.3104451,NL_040
93,0.20950627,-0.054492604,NL_041
94,-0.66637206,0.77068883,NL_042
95,0.30989134,-0.26212034,NL_043
96,0.26410353,-0.2899633,NL_044
97,0.07303297,-0.31159157,NL_045
98,0.16869713,-0.10579818,NL_046
99,0.36629134,-0.31955704,NL_047
100,0.41196534,-0.22472821,NL_048
101,0.6597922,-0.38931525,NL_049
102,0.2688181,-0.22883478,NL_050
103,0.20478782,0.04849975,NL_051
104,0.5112585,-0.4042299,NL_052
105,0.74198186,-0.38236317,NL_053
106,-0.3934727,-0.7192689,NL_054
107,-0.29112735,-0.30369955,NL_055
108,0.0990397,-0.213748,NL_056
109,-0.11803427,-0.35902002,NL_057
110,0.36491162,-0.038673457,NL_058
111,0.23637927,-0.18214762,NL_059
112,0.64214027,-0.55901885,NL_060
113,0.4066038,-0.5518556,NL_061
114,0.20314182,-0.995312,NL_062
115,0.714856,0.08744753,NL_063
116,-0.46461785,-0.89290655,NL_064
117,0.08062784,-0.37328926,NL_065
118,0.6385972,-0.37018538,NL_066
119,-0.7999704,-0.919929,NL_067
120,0.47099775,-0.2749013,NL_069
121,-0.14350148,-0.024456434,NL_070
122,0.57407826,-0.7340893,NL_071
123,0.5627541,-0.11741807,NL_072
124,0.22755656,0.07404413,NL_073
125,0.41461456,-0.059065767,NL_074
126,0.254709,-0.18399176,NL_075
127,-0.16944401,0.31189027,NL_076
128,0.13835503,0.25574908,NL_077
129,0.6705214,-0.6172484,NL_078
130,0.07438968,-0.13724549,NL_079
131,-0.5994879,-0.59403664,NL_080
132,0.50185263,0.9021328,NL_081
133,0.7440519,0.47210723,NL_082
134,-0.532037,-0.35981053,NL_083
135,0.10083287,-0.39791015,NL_086
136,0.08817883,-0.13570698,NL_087
137,-0.7825433,-0.81692773,NL_088
138,-0.67875624,0.3893122,NL_089
139,-0.7818954,-0.96329355,NL_090
140,-0.22520734,-0.46590525,NL_091
141,-0.020209018,0.02480634,NL_092
142,0.1895339,-0.059856225,NL_093
143,-0.42355213,-0.56839746,NL_094
144,0.3407084,-0.095755465,NL_095
145,0.09274019,-0.19855179,NL_096
146,0.15766118,0.5060098,NL_097
147,0.25602955,-0.22625184,NL_099
148,0.039942916,-0.15328778,NL_100
149,0.1060604,-0.10729265,NL_101
150,0.4475214,0.4957357,NL_102
151,0.17227279,-0.41977593,NL_103
152,-0.11803427,-0.35902002,NL_104
153,-0.05350014,-0.44520286,NL_105
154,-0.48725027,-0.8255261,NL_106
155,0.3544095,-0.22774991,NL_107
156,-0.20357701,-0.81764,NL_108
157,0.42518225,-0.40600693,NL_EN_218
158,0.44061416,-0.858479,NL_EN_219
159,-0.1241895,-0.50255716,NL_EN_222
160,-0.6409018,-0.9154542,NL_EN_223
161,-0.5358696,-0.82508665,NL_EN_224
162,-0.42119002,0.1402128,NL_EN_229
163,-0.8960169,-0.9566781,NL_EN_234
164,-0.082114376,-0.6389576,NL_EN_235
165,-0.5073993,-0.6420075,NL_EN_236
166,-0.11276355,0.3245469,NL_EN_237
167,0.14494477,-0.30461526,NL_EN_239
168,0.12003542,0.124906585,NL_EN_241
169,0.43261304,-0.20976812,NL_EN_242
170,-0.120716855,-0.01587895,NL_EN_243
171,0.34506634,-0.032715753,NL_FR_201
172,0.23375402,0.15576893,NL_FR_202
173,-0.56488144,0.83865523,NL_FR_203
174,-0.33249816,0.41382465,NL_FR_204
175,-0.89267695,-0.93941134,NL_FR_205
176,0.34836116,-0.54910046,NL_FR_206
177,0.10255578,-0.58850145,NL_FR_207
178,-0.4451455,-0.59464455,NL_FR_208
179,0.19212717,-0.78104764,NL_FR_209
180,0.93781245,-0.88939756,NL_FR_210
181,-0.050627507,0.13717844,NL_FR_211
182,0.37914705,-0.111007154,NL_FR_212
183,0.31839773,-0.06107574,NL_FR_213
184,-0.709276,-0.37207094,NL_or_214
185,-0.9028038,-0.98295295,NL_or_215
186,0.045123275,0.036904898,NL_or_216
187,-0.5172842,-0.64346665,NL_or_217
188,0.08817883,-0.13570698,NL_or_220
189,-0.4099701,0.45865065,NL_or_221
190,0.50607884,0.092077084,NL_or_225
191,-0.24995328,-0.062130947,NL_or_226
192,-0.98864573,-0.9966101,NL_or_227
193,-0.44632083,-0.8621292,NL_or_228
194,-0.5097007,-0.9084252,NL_or_230
195,0.08527138,-0.41285792,NL_or_231
196,-0.7123309,0.7400033,NL_or_232
