,0,1,fileID
0,-0.3526926,0.11459626,EN_NL_273
1,-0.4827152,0.2574881,EN_NL_274
2,-0.6508725,0.31467533,EN_NL_275
3,-0.28619662,0.2937009,EN_NL_276
4,0.036672007,0.38888955,EN_NL_277
5,0.06290916,0.07899879,EN_NL_278
6,0.10463195,0.18460678,EN_NL_279
7,-0.2260446,-0.40278783,EN_NL_280
8,-0.7855794,-0.088715516,EN_NL_281
9,-0.25568435,0.28169522,EN_NL_282
10,0.08883477,0.18647176,EN_NL_283
11,0.27338213,0.21965344,EN_NL_284
12,-0.6331532,0.21388307,EN_NL_285
13,0.74602383,0.4840935,EN_NL_286
14,-0.14555973,-0.0029876307,EN_NL_287
15,-0.10572998,-0.2817489,EN_NL_289
16,0.0003187158,-0.06899141,EN_NL_290
17,-0.15074012,-0.46111298,EN_NL_291
18,0.09769417,-0.36407262,EN_NL_292
19,0.22140229,-0.048887532,EN_NL_293
20,0.36471647,-0.5644653,EN_NL_294
21,0.50720435,-0.25673088,EN_NL_295
22,0.07695534,-0.20785627,EN_NL_296
23,-0.07187615,0.04556366,EN_NL_297
24,0.18652676,0.008064815,EN_NL_298
25,0.79007334,0.6536599,EN_NL_299
26,0.27704236,0.122805946,FR_NL_244
27,0.1357986,-0.20390671,FR_NL_245
28,0.32846233,-0.36798173,FR_NL_246
29,-0.32192585,0.0049992395,FR_NL_247
30,0.37838998,0.11354521,FR_NL_248
31,-0.34002504,0.44629866,FR_NL_249
32,0.30008852,-0.4545686,FR_NL_250
33,0.03606787,0.074296646,FR_NL_251
34,0.3236383,-0.15474382,FR_NL_252
35,-0.17325841,0.3445251,FR_NL_253
36,-0.49890527,-0.27568144,FR_NL_254
37,-0.008108779,0.4450187,FR_NL_255
38,-0.56189036,0.6563467,FR_NL_256
39,-0.04346108,-0.27292427,FR_NL_257
40,-0.5687644,0.22661452,FR_NL_258
41,0.8079175,-0.9924744,FR_NL_259
42,-0.2604089,-0.6551536,FR_NL_260
43,-0.36756125,0.4955736,FR_NL_261
44,-0.16196048,-0.26558027,FR_NL_262
45,-0.34282383,-0.51270795,FR_NL_263
46,0.024641084,-0.007963169,FR_NL_264
47,-0.06828656,0.56584984,FR_NL_265
48,-0.31958538,0.027344551,FR_NL_266
49,-0.057917427,0.06343882,FR_NL_267
50,-0.18231238,0.064634144,FR_NL_268
51,-0.28420442,-0.33829525,FR_NL_269
52,0.15804,0.89626724,FR_NL_270
53,-0.5113155,0.085746944,FR_NL_271
54,-0.18252997,0.24645664,FR_NL_272
55,-0.2239506,0.09545439,NL_001
56,0.8582649,0.70164436,NL_002
57,0.083738945,-0.08685982,NL_003
58,-0.051595192,-0.063632526,NL_004
59,0.11798579,-0.3094538,NL_005
60,-0.14747158,0.072520435,NL_006
61,-0.32560492,0.05242813,NL_007
62,-0.079923704,0.056135964,NL_008
63,-0.8327423,0.4016111,NL_009
64,0.0052312748,0.10292946,NL_010
65,-0.7860888,0.5275897,NL_011
66,0.053162396,0.30416438,NL_012
67,-0.13254917,-0.16201402,NL_013
68,0.19007306,-0.17354962,NL_014
69,0.4187543,-0.3252859,NL_015
70,-0.6370918,0.038111225,NL_016
71,-0.10728803,-0.19251183,NL_017
72,0.105168715,0.057289105,NL_018
73,0.10410169,-0.01341911,NL_020
74,0.5800268,0.39778805,NL_021
75,0.051459853,-0.23678899,NL_022
76,0.20218128,0.30177277,NL_023
77,-0.8114399,0.880591,NL_024
78,0.11536445,0.11204591,NL_025
79,-0.47388545,0.4178784,NL_026
80,-0.051595192,-0.063632526,NL_027
81,-0.123850584,-0.058757395,NL_028
82,-0.7757795,0.90140915,NL_029
83,-0.4990035,0.15776342,NL_030
84,-0.5159474,-0.064936355,NL_031
85,0.0044877753,-0.08682206,NL_032
86,0.042162657,0.20188442,NL_033
87,0.18925308,0.081556685,NL_035
88,-0.08216263,-0.08008511,NL_036
89,0.1078096,-0.4182458,NL_037
90,-0.34765506,0.40142313,NL_038
91,0.05710547,-0.08830753,NL_039
92,-0.0010742256,-0.20186986,NL_040
93,0.11034489,-0.072790734,NL_041
94,-0.39529115,-0.70003265,NL_042
95,0.1611383,-0.0789015,NL_043
96,-0.17586465,-0.17167379,NL_044
97,-0.048906796,-0.11700255,NL_045
98,-0.123850584,-0.058757395,NL_046
99,0.1329431,-0.17356977,NL_047
100,-0.088500865,0.07932865,NL_048
101,0.05638404,-0.62482685,NL_049
102,-0.035782125,-0.19848697,NL_050
103,0.29560304,0.4184508,NL_051
104,-0.22624195,-0.109771766,NL_052
105,-0.3104906,-0.21065168,NL_053
106,-0.42206606,0.22264479,NL_054
107,-0.1484068,0.040599875,NL_055
108,0.056160644,0.10809414,NL_056
109,-0.12906307,0.025845958,NL_057
110,0.27694288,-0.45350808,NL_058
111,0.022871334,0.024134494,NL_059
112,0.16507651,-0.677512,NL_060
113,-0.042741816,0.036807284,NL_061
114,0.3011789,-0.8717487,NL_062
115,0.11126424,0.030134948,NL_063
116,-0.6222327,-0.0930836,NL_064
117,-0.022861226,-0.07529604,NL_065
118,0.32541707,-0.70417655,NL_066
119,-0.7480787,0.751857,NL_067
120,0.3520204,0.11114581,NL_069
121,0.22427724,0.29476982,NL_070
122,-0.21881112,0.28882623,NL_071
123,-0.02562593,-0.05329285,NL_072
124,0.1318732,0.4121536,NL_073
125,-0.06531882,0.4052494,NL_074
126,0.038772434,-0.07510824,NL_075
127,0.17648058,-0.090768576,NL_076
128,-0.18252997,0.24645664,NL_077
129,-0.08016782,-0.3390927,NL_078
130,-0.20543472,-0.049267642,NL_079
131,0.40777555,0.78526264,NL_080
132,-0.36105016,-0.6891881,NL_081
133,-0.5113155,0.085746944,NL_082
134,-0.2927066,-0.33798623,NL_083
135,0.11827738,-0.032338906,NL_086
136,-0.16987109,0.15982233,NL_087
137,0.023407072,-0.6610601,NL_088
138,-0.7693404,-0.7664654,NL_089
139,-0.75222206,0.8072356,NL_090
140,0.5135456,0.30648738,NL_091
141,-0.043095175,0.017621977,NL_092
142,-0.03385512,0.09858496,NL_093
143,0.020508826,0.27899677,NL_094
144,-0.18637611,-0.233284,NL_095
145,0.11381728,0.044445727,NL_096
146,0.1255902,-0.31308258,NL_097
147,0.3802927,-0.42185038,NL_099
148,-0.064499564,-0.097425066,NL_100
149,0.14905985,-0.10533143,NL_101
150,-0.14026712,-0.46315762,NL_102
151,-0.26012373,-0.42267832,NL_103
152,-0.12906307,0.025845958,NL_104
153,-0.24672605,-0.04675314,NL_105
154,-0.52814704,0.6425519,NL_106
155,0.04281705,0.10890185,NL_107
156,-0.4178318,0.4513779,NL_108
157,-0.31692514,-0.10609285,NL_EN_218
158,-0.3988643,-0.5821419,NL_EN_219
159,-0.21344669,-0.16239397,NL_EN_222
160,-0.41545984,-0.43716303,NL_EN_223
161,-0.27601466,-0.11044213,NL_EN_224
162,-0.38224658,0.2018862,NL_EN_229
163,-0.46039477,-0.77042526,NL_EN_234
164,-0.5324187,0.14128065,NL_EN_235
165,-0.33610916,-0.19183645,NL_EN_236
166,-0.44926882,0.6588108,NL_EN_237
167,0.17776425,0.101553485,NL_EN_239
168,-0.32281503,-0.041676257,NL_EN_241
169,0.24202974,-0.0864438,NL_EN_242
170,0.107754245,-0.071706325,NL_EN_243
171,0.00088688935,-0.29587182,NL_FR_201
172,-0.09971484,-0.017235965,NL_FR_202
173,0.55254537,0.35905674,NL_FR_203
174,-0.576568,0.81678087,NL_FR_204
175,-0.58999765,-0.34086528,NL_FR_205
176,-0.16138607,0.27541867,NL_FR_206
177,-0.26861474,0.32982975,NL_FR_207
178,0.07717515,0.12116989,NL_FR_208
179,-0.2436433,0.063480996,NL_FR_209
180,0.4690688,-0.5944107,NL_FR_210
181,-0.26364207,-0.35456374,NL_FR_211
182,0.29955003,0.13200092,NL_FR_212
183,0.08565941,0.091456644,NL_FR_213
184,0.25766835,0.32551,NL_or_214
185,-0.7732774,-0.53566575,NL_or_215
186,-0.010269337,-0.268666,NL_or_216
187,-0.10249791,-0.5743177,NL_or_217
188,-0.16987109,0.15982233,NL_or_220
189,0.27440032,0.25600657,NL_or_221
190,-0.37343773,0.023894733,NL_or_225
191,-0.20271266,0.67192173,NL_or_226
192,-0.98384976,0.068757,NL_or_227
193,0.08092261,0.06545552,NL_or_228
194,-0.51970434,-0.71379745,NL_or_230
195,-0.3606795,0.3559433,NL_or_231
196,0.16570379,0.6757518,NL_or_232
197,-0.43012023,0.031176267,NL_or_233
198,0.09755002,0.23334005,NL_or_238
199,-0.80480015,0.7797431,NL_or_240
200,-0.50272,0.72785103,fn000115
201,-0.57668483,0.74006337,fn000141
202,-0.26071468,0.9759899,fn000142
203,-0.4535517,0.95878446,fn000143
204,0.34027246,0.41973376,fn000144
205,-0.64198864,0.6078113,fn000145
206,0.49541876,0.49519163,fn000146
207,-0.29123077,-0.23439042,fn000147
208,-0.5489237,0.86120445,fn000148
209,-0.9259377,0.9766451,fn000149
210,-0.39928874,0.8725511,fn000150
211,-0.05849207,0.9908053,fn000151
212,-0.9277948,-0.22970283,fn000152
213,-0.97683185,0.9981156,fn000153
214,-0.8108333,0.9919382,fn000154
215,-0.70722,0.018799359,fn000155
216,-0.088905446,0.58305466,fn000156
217,-0.3078441,0.46841615,fn000157
218,-0.33393386,0.15457699,fn000158
219,-0.27261558,0.2590731,fn000159
220,-0.6608106,0.99804294,fn000160
221,-0.22282329,0.6357303,fn000161
222,0.98529494,0.9935524,fn000162
223,-0.679907,0.45455194,fn000163
224,-0.73055655,0.99502736,fn000164
225,-0.7156058,0.26334578,fn000165
226,0.9946322,0.7309119,fn000166
227,0.12930386,0.49627012,fn000167
228,-0.6474124,0.9367398,fn000168
229,-0.21894607,0.80647564,fn000169
230,-0.8057561,0.7643357,fn000170
231,-0.7483167,-0.0038314806,fn000171
232,-0.39325938,0.88742244,fn000172
233,-0.9570318,0.93517995,fn000173
234,0.8809301,0.9392218,fn000174
235,-0.40823624,0.9437224,fn000175
236,-0.45242235,0.7824993,fn000176
237,-0.951479,0.326755,fn000177
238,-0.78696525,0.2822206,fn000178
239,-0.2142943,-0.26484627,fn000191
240,-0.51232606,0.36772105,fn000192
241,-0.8955113,0.017048739,fn000193
242,-0.95729375,-0.46715096,fn000194
243,0.14177112,0.57871205,fn000195
244,-0.59594584,0.6938063,fn000196
245,-0.79130924,0.8167261,fn000197
246,0.0056400243,0.24521022,fn000198
247,0.19674556,0.72796416,fn000199
248,-0.5227644,0.86861783,fn000200
249,-0.5947963,-0.70354164,fn000201
250,-0.68679696,0.346761,fn000202
251,0.09729466,0.9388138,fn000203
252,-0.5005676,0.84301335,fn000204
253,-0.46645507,-0.4336673,fn000208
254,0.040150013,0.7542898,fn000211
255,-0.975257,-0.66660726,fn000212
256,-0.6515001,0.4663187,fn000213
257,-0.67067116,0.99728173,fn000214
258,-0.32187065,0.9713957,fn000215
259,-0.2092872,0.8174165,fn000216
260,-0.53977,0.93612117,fn000217
261,-0.6099529,0.62188435,fn000218
262,-0.27145305,0.82039917,fn000219
263,-0.6552502,-0.014642376,fn000220
264,-0.92346853,-0.57201123,fn000221
265,-0.58558464,-0.18218678,fn000222
266,0.63442516,0.49581346,fn000226
267,-0.43454444,0.4582703,fn000227
268,0.0034248717,-0.014893668,fn000228
269,0.086382926,0.8509151,fn000229
270,-0.943967,-0.31181172,fn000230
271,0.71145207,0.53061414,fn000231
272,0.016107135,0.90730286,fn000232
273,-0.15813394,0.92830354,fn000233
274,-0.9940169,0.9912806,fn000234
275,-0.2318407,0.23644055,fn000235
276,0.50733775,0.45083398,fn000236
277,-0.46364757,-0.18752219,fn000237
278,-0.24510697,0.44412014,fn000238
279,-0.3900671,-0.18616688,fn000241
280,-0.14293902,0.5369601,fn000242
281,0.22432055,0.60893196,fn000243
282,-0.8825295,0.87751144,fn000244
283,0.07191691,0.41243008,fn000245
284,0.1118339,0.29714537,fn000246
285,-0.32371402,0.16206105,fv600002
286,-0.87983805,-0.6672399,fv600003
287,-0.0879633,0.50823706,fv600004
288,0.17409343,0.1947577,fv600005
289,-0.9631547,0.9443467,fv600006
290,-0.26827633,0.6583563,fv600007
291,-0.1958493,-0.009403191,fv600008
292,-0.27310464,-0.62239665,fv600009
293,-0.19381452,-0.10007553,fv600010
294,0.17188694,0.7264207,fv600011
295,-0.06523167,0.58900976,fv600012
296,-0.3697838,0.19828804,fv600013
297,-0.9974114,0.9752307,fv600014
298,-0.9718652,0.95634234,fv600015
299,0.58663553,-0.70983595,fv600016
300,0.32523242,0.36579168,fv600017
301,0.14069119,0.47675866,fv600018
302,-0.6463129,0.5707474,fv600019
303,-0.8168701,0.59197384,fv600020
304,-0.08368309,-0.025515104,fv600021
305,-0.801963,0.45564768,fv600331
306,-0.4351129,0.12842578,fv600332
307,-0.0033295525,0.14501265,fv600333
308,-0.03162629,0.037504446,fv600334
309,0.04058967,0.120047644,fv600336
310,-0.14747158,0.072520435,fv600337
311,0.10683374,0.15949604,fv600338
312,-0.056018546,0.3323607,fv600573
313,-0.15495634,0.06962867,fv600574
314,-0.002640939,0.19995247,fv600575
315,-0.007846206,0.14621347,fv600576
316,-0.23778342,0.58276016,fv600577
317,-0.5054177,0.14676237,fv600578
318,0.57350427,-0.64735216,fv600579
319,0.3568164,-0.07431293,fv600580
320,0.18831639,-0.58806473,fv600581
321,0.06478249,-0.20971096,fv600582
322,0.110747755,-0.214318,fv600583
323,-0.5376427,-0.039573703,fv600588
324,0.24210744,0.15137467,fv600589
325,-0.49384442,0.8686746,fv600590
326,-0.2043742,0.25520974,fv600591
327,-0.036765274,0.037328396,fv600592
328,0.12781464,0.35577112,fv600593
329,-0.33131906,-0.6114342,fv600595
330,-0.27157044,-0.07314522,fv600596
331,-0.23121358,0.2845967,fv600597
332,-0.05822221,-0.18399245,fv600598
333,0.4051088,0.30100814,fv600623
334,0.1896628,-0.33716452,fv600624
335,-0.20124644,-0.29033062,fv600625
336,0.15935211,-0.0063687367,fv600626
337,-0.330443,0.1968347,fv600627
338,-0.052782286,-0.8957619,fv600628
339,0.27818596,-0.37385225,fv600629
340,0.19629659,0.28242305,fv600630
341,0.028148804,-0.118835084,fv600631
342,0.14246424,0.036295112,fv600632
343,-0.56858385,0.4545564,fv600633
344,-0.49805212,0.046267044,fv600634
345,-0.48061243,-0.4128962,fv600636
346,-0.10850305,-0.31417245,fv600637
347,-0.33182076,0.4514198,fv600638
348,0.011986398,-0.41934013,fv600639
349,-0.083671466,0.03681599,fv600640
350,-0.21431734,-0.12514158,fv600641
351,0.00093002815,-0.09184891,fv600642
352,-0.32181856,-0.14419849,fv600643
353,-0.61335474,0.6792503,fv600644
354,0.005455278,-0.09319356,fv600645
355,-8.178409e-06,0.5014381,fv600646
356,-0.03177384,0.048542842,fv600647
357,-0.33471957,0.40904483,fv600648
358,-0.2766936,-0.06688477,fv600649
359,-0.7172736,0.8594423,fv600650
360,0.26545155,0.251375,fv600651
361,-0.08548326,-0.102092,fv600652
362,-0.695042,0.4899992,fv600653
363,-0.027716314,0.35876593,fv600654
364,-0.31055602,0.0032758801,fv600655
365,0.20425905,-0.42213902,fv600656
366,0.15105926,0.3964015,fv600657
367,-0.5477483,0.76703393,fv600658
368,-0.27021915,0.15023369,fv600659
369,-0.16892347,-0.050715428,fv600660
370,0.79329556,-0.8714133,fv600667
371,0.36791003,-0.1451544,fv600668
372,0.45425487,-0.79555583,fv600669
373,0.35505927,-0.7961877,fv600670
374,-0.12691379,-0.083413094,fv600671
375,-0.6857262,0.8420472,fv600672
376,-0.10782048,-0.3850812,fv600673
377,-0.38706064,-0.8019769,fv600674
378,0.41128567,0.13156474,fv600675
379,-0.66937566,0.37161127,fv600676
380,0.19111042,0.50128245,fv600677
381,0.039307464,0.59350985,fv600678
382,-0.14465865,0.36458603,fv600679
383,-0.79517,0.10357026,fv600680
384,-0.9472769,0.9620037,fv600681
385,-0.19615303,0.23193921,fv600682
386,0.25127015,0.0068186116,fv600683
387,-0.39031905,0.5818634,fv600684
388,-0.23144579,0.2048012,fv600685
389,0.060453475,0.55999655,fv600686
390,-0.5447842,0.22519669,fv600687
391,-0.7872642,0.4233067,fv600688
392,-0.3569456,-0.6996682,fv600689
393,-0.7375329,0.5812413,fv600690
394,0.23745136,0.5218304,fv600691
395,-0.7074532,-0.8642684,fv600692
396,-0.032415867,0.020995082,fv600693
397,0.32014316,0.57431763,fv600694
398,-0.01321109,0.23940186,fv600695
